user,FFT 5 FMR,FFT full FMR,Nickel FMR,Kwapisz FMR,Raw FMR,Raw Resultant FMR,Raw Means FMR
0,0.2380250552689757,0.2380250552689757,0.0899042004421518,0.18312453942520265,0.35335298452468683,0.24613117170228446,0.34377302873986737
1,0.3050847457627119,0.3050847457627119,0.13706705969049374,0.08769344141488578,0.3253500368459838,0.4487840825350037,0.44030950626381726
2,0.24355195283714076,0.24355195283714076,0.02984524686809138,0.03316138540899042,0.36845983787767134,0.21923360353721444,0.38209285187914516
3,0.1492262343404569,0.1492262343404569,0.06263817243920412,0.06484893146647015,0.24207811348563008,0.37324981577008104,0.43109801031687545
4,0.21223286661753868,0.21223286661753868,0.06779661016949153,0.12527634487840825,0.3544583640383198,0.3673544583640383,0.3485630066322771
5,0.2899778924097273,0.2899778924097273,0.11680176860722181,0.10869565217391304,0.3761974944731024,0.3301400147383935,0.38909358879882094
6,0.1584377302873987,0.1584377302873987,0.056374355195283714,0.02984524686809138,0.3176123802505527,0.33603537214443624,0.4064112011790715
7,0.3743551952837141,0.3743551952837141,0.10722181282240235,0.13817243920412675,0.2608695652173913,0.3393515106853353,0.3813559322033898
8,0.1466470154753132,0.1466470154753132,0.11385408990420044,0.1260132645541636,0.25534266764922625,0.3224023581429624,0.396831245394252
9,0.183861459100958,0.183861459100958,0.10906411201179071,0.1584377302873987,0.39056742815033163,0.3813559322033898,0.4848931466470155
10,0.10980103168754606,0.10980103168754606,0.015106853352984525,0.026529108327192335,0.20744288872512895,0.13080324244657332,0.2877671333824613
11,0.1208548268238762,0.1208548268238762,0.1016949152542373,0.11753868828297716,0.21002210759027265,0.317243920412675,0.24871039056742816
12,0.3640383198231393,0.3640383198231393,0.06190125276344879,0.05563743551952837,0.3739867354458364,0.3268238761974945,0.3894620486366986
13,0.23028739867354459,0.23028739867354459,0.056742815033161385,0.05342667649226234,0.341930729550479,0.3120854826823876,0.3857774502579219
14,0.3625644804716286,0.3625644804716286,0.12417096536477525,0.03831982313927782,0.2660280029476787,0.32977155490051585,0.3695652173913043
15,0.2542372881355932,0.2542372881355932,0.059322033898305086,0.10611643330876934,0.4053058216654385,0.4067796610169492,0.4458364038319823
16,0.1982313927781872,0.1982313927781872,0.15954310980103167,0.1271186440677966,0.32977155490051585,0.37877671333824614,0.4148857774502579
17,0.3216654384672071,0.3216654384672071,0.12011790714812086,0.13301400147383935,0.49042004421518054,0.44546794399410466,0.4661016949152542
18,0.21112748710390566,0.21112748710390566,0.05711127487103906,0.0578481945467944,0.20965364775239498,0.2081798084008843,0.3168754605747974
19,0.33861459100957997,0.33861459100957997,0.04937361827560796,0.050478997789240976,0.31282240235814296,0.30766396462785556,0.4543109801031688
20,0.09285187914517318,0.09285187914517318,0.08106116433308769,0.08032424465733234,0.29218865143699335,0.34893146647015477,0.39904200442151805
21,0.3286661753868828,0.3286661753868828,0.08069270449521002,0.07111274871039057,0.2483419307295505,0.25534266764922625,0.3563006632277082
22,0.19749447310243184,0.19749447310243184,0.04384672070744289,0.06521739130434782,0.3036109064112012,0.4019896831245394,0.4657332350773766
23,0.28224023581429625,0.28224023581429625,0.08400884303610906,0.04716285924834193,0.3375092114959469,0.3168754605747974,0.37840825350036844
